
                 PyRate - v3.0 - 20211129

          Bayesian estimation of origination,
           extinction and preservation rates
              from fossil occurrence data

                 pyrate.help@gmail.com



Module FastPyRateC was loaded.


 Artiodactyla_PyRate ['data/Artiodactyla_PyRate.py'] 


The analysis includes 1603 species (0 were excluded)
Using Gamma priors on the birth-death rates (G_l[1.1,1.1], G_m[1.1,1.1]).


DATA SUMMARY

1603 taxa included in the analysis
583 taxa have a single occurrence, 54 taxa are extant
8799 fossil occurrences (40 replicates), ranging from 56.0 (+/- 0.0) to 0.03 (+/- 0.0) Ma

Taxon	FA	LA
Hippopotamus_antiquus	1.811	0.771	
Hippopotamus_behemoth	1.981	1.981	
Hippopotamus_dulu	5.2	5.2	
Hippopotamus_gorgops	3.6	0.78	
Hippopotamus_incognitus	1	1	
Hippopotamus_kaisensis	7.246	3.6	
Hippopotamus_karumensis	2.64	1.53	
Hippopotamus_protamphibius	7.1	2.3	
Hippopotamus_shungurensis	3.4	3.4	
Hippopotamus_sirensis	1.8	1.8	
Hippotragus_cookei	5.333	5.333	
Hippotragus_equinus	1.8	1.8	extant
Hippotragus_gigas	5.333	1.042	
Hippotragus_niger	5.333	5.333	extant
Hippotragus_priscus	5.0	3.6	
Hispanodorcas_heintzi	5	5	
Hispanodorcas_orientalis	7.1	7.1	
Hispanodorcas_rodleri	7.6	7.6	
Hispanodorcas_torrubiae	11.63	7.1	
Hispanomeryx_aragonensis	14.2	12.85	
Hispanomeryx_daamsi	14.2	12.85	
Hispanomeryx_duriensis	11.2	9.9	
Homacodon_vagans	48.64	48.64	
Homoiodorcas_tugenium	13.82	11.63	
Honanotherium_schlosseri	9.9	7.1	
Huabeitragus_yushensis	8.9	8.9	
Hydaspitherium_birmanicus	11.2	11.2	
Hydaspitherium_megacephalum	11.63	3.6	
Hydropotes_inermis	1.81	1.81	extant
Hydropotopsis_lemanense	21.7	21.7	
Hylochoerus_meinertzhageni	3.6	3.6	extant
Hylomeryx_annectans	47.96	45.38	
Hylomeryx_quadricuspis	47.96	42.78	
Hyotherium_insularis	21.7	21.7	
Hyotherium_major	23.0	17.2	
Hyotherium_meisneri	23.0	16.4	
Hyotherium_soemmeringi	19.5	12.85	
Hyotherium_youngi	23.03	12.5	
Hyperdichobune_spectabilis	35.1	35.1	
Hyperdichobune_spinifera	35.1	35.1	
Hypertragulus_calcaratus	34.7	29.75	
Hypertragulus_hesperius	31.4	28.0	
Hypertragulus_minutus	28.0	22.2	
Hypisodus_minimus	35.92	33.9	
Hypsiops_bannackensis	19.09	18.5	
Hypsiops_breviceps	28.0	19.09	
Hypsodontus_gaopense	16.4	12.5	
Hypsodontus_miocenicus	16.4	16.4	
Hypsodontus_pronaticornis	16.4	14.07	
Hypsodontus_serbicus	14.2	14.2	
Hypsodontus_tanyceras	13.8	13.8	
Ibarus_ignotus	42.78	42.78	
Iberomeryx_minor	33.77	29.97	
Iberomeryx_parvus	27.82	27.82	
Ilingoceros_alexandrae	9.07	5.91	
Ilingoceros_schizoceras	9.07	9.07	
Indohyus_indirae	56.0	47.8	
Indohyus_major	56	56	
Indomeryx_arenae	44.95	44.95	
Indomeryx_cotteri	44.95	44.95	
Injanatherium_arabicum	14.2	14.2	
Injanatherium_hazimi	8.9	8.9	
Ioribos_aceros	3.55	3.55	
Jaggermeryx_naida	19.491	19.491	
Jamous_kolleensis	5.3	5.3	
Kabulicornis_ahmadi	5.3	5.3	
Karsimatherium_bazalethicum	7.1	7.1	
Kenyapotamus_coryndoni	13.82	9.6	
Kenyapotamus_ternani	15.97	13.31	
Kenyasus_namaquensis	17.2	17.2	
Kenyasus_rusingensis	20.44	16.4	
Khirtharia_aurea	47.8	47.8	
Khirtharia_dayi	56.0	47.8	
Khirtharia_inflata	47.8	47.8	
Kipsigicerus_labidotus	13.82	12.85	
Kobus_ammolophi	5.3	5.3	
Kobus_ancesrocera	1.042	1.042	
Kobus_ancystrocera	5.333	1.74	
Kobus_barbarus	2.19	2.19	
Kobus_ellipsiprymnus	3.6	1.042	extant
Kobus_kob	3.6	1.042	extant
Kobus_korotorensis	5.3	3.5	
Kobus_laticornis	6.54	6.54	
Kobus_leche	2.0	1.33	extant
Kobus_oricornus	5.333	2.52	
Kobus_patulicornis	3.6	3.6	
Kobus_porrecticornis	7.246	5.2	
Kobus_preoricornis	4.4	4.4	
Kobus_presigmoidalis	7.44	5.3	
Kobus_sigmoidalis	3.94	1.53	
Kobus_subdolus	7.1	5.0	
Kobus_tchadensis	3.5	3.5	
Kolpochoerus_afarensis	5.333	2.88	
Kolpochoerus_deheinzelini	5.333	4.187	
Kolpochoerus_heseloni	3.85	0.95	
Kolpochoerus_majus	5.333	0.95	
Kolpochoerus_millensis	3.6	3.6	
Kolpochoerus_olduvaiensis	1.981	0.78	
Kolpochoerus_phacochoeroides	3.6	1.8	
Koufotragus_bailloudi	5	5	
Kubanochoerus_gigas	16.4	12.049	
Kubanochoerus_khinzikebirus	20.44	14.2	
Kubanochoerus_mancharensis	19.5	13.82	
Kubanochoerus_marymuunguae	17.2	15.97	
Kubanochoerus_massai	20.44	15.97	
Kubanochoerus_minheensis	12.5	12.5	
Kubanochoerus_parvus	15.5	15.5	
Kubanotragus_gaopoensis	12.5	12.5	
Kubanotragus_sokolovi	13.82	13.82	
Kukusepasutanka_schultzi	29.75	29.75	
Kulutherium_kenyensis	17.2	17.2	
Kunmunella_kalakotensis	47.8	47.8	
Kunmunella_transversa	47.8	47.8	
Kyptoceras_amatorum	15.97	5.91	
Lagomeryx_colberti	20	17	
Lagomeryx_complicidens	12.5	12.5	
Lagomeryx_meyeri	17.2	17.2	
Lagomeryx_minimus	19.5	16.4	
Lagomeryx_parvulus	20.44	12.85	
Lagomeryx_primaevus	16.4	7.1	
Lagomeryx_pumilio	17.2	12.85	
Lagomeryx_ruetimeyeri	19.5	14.2	
Lagomeryx_satensis	10.169	8.9	
Lagomeryx_triacuminatus	12.85	12.85	
Lagomeryx_tsaidamensis	14.07	14.07	
Lagomeryx_vallesensis	17.2	17.2	
Lambdoceras_hessei	18.5	17.34	
Lambdoceras_siouxensis	17.34	15.97	
Lambdoceras_trinitiensis	14.78	14.78	
Lantiantragus_longirostralis	9.9	8.108	
Leptauchenia_brevifacies	29.75	22.2	
Leptauchenia_decora	32.1	31.4	
Leptauchenia_eiseleyi	33.9	33.9	
Leptauchenia_loganensis	31.4	29.75	
Leptauchenia_major	31.4	22.2	
Leptauchenia_orellaensis	33.9	33.9	
Leptauchenia_platyceps	39.83	35.24	
Leptauchenia_schucherti	31.4	29.75	
Leptobos_brevicornis	1.81	1.296	
Leptobos_crassus	2.5	1.81	
Leptobos_elatus	3.55	2.5	
Leptobos_etruscus	5.3	1.8	
Leptobos_furtivus	5.333	1.945	
Leptobos_merlai	5.333	2.138	
Leptobos_merlai/furtivus	2.138	2.138	
Leptobos_stenometopon	3.55	2.581	
Leptobos_syrticus	7.1	7.1	
Leptobos_vallisarni	3.55	1.862	
Leptochoerus_elegans	33.9	33.9	
Leptochoerus_emilyae	33.9	33.9	
Leptochoerus_spectabilis	34.7	31.4	
Leptochoerus_supremus	32.1	32.1	
Leptomeryx_blacki	39.83	35.92	
Leptomeryx_evansi	37.39	31.4	
Leptomeryx_mammifer	37.39	35.24	
Leptomeryx_obliquidens	31.4	31.4	
Leptomeryx_speciosus	37.39	34.7	
Leptomeryx_yoderi	39.83	35.92	
Leptoreodon_edwardsi	42.78	42.78	
Leptoreodon_golzi	45.38	45.38	
Leptoreodon_leptolophus	42.78	42.78	
Leptoreodon_major	47.96	42.78	
Leptoreodon_marshi	47.96	42.78	
Leptoreodon_pusillus	45.38	29.75	
Leptoreodon_stocki	42.78	39.83	
Leptotheridium_lugeoni	40.12	40.12	
Leptotragulus_clarki	45.38	35.92	
Leptotragulus_medius	45.38	39.83	
Leptotragulus_proavus	45.38	42.78	
Leptotragulus_profectus	39.83	34.7	
Libralces_gallicus	3.55	1.9	
Libycosaurus_petrocchii	13.82	7.1	
Libytherium_maurusium	2.5	2.5	
Listriodon_pentapotamiae	17.131	11.63	
Listriodon_splendens	23.03	9.786	
Longirostromeryx_clarendoniesis	12.11	12.11	
Longirostromeryx_novomexicanus	14.78	14.78	
Longirostromeryx_wellsi	14.78	10.09	
Lophiomeryx_benarensis	27.82	27.82	
Lophiomeryx_chalaniati	33.9	27.24	
Lophiomeryx_gaudryi	33.77	32.63	
Lophiomeryx_mouchelini	33.77	29.97	
Lopholistriodon_akatidogus	15.97	13.8	
Lopholistriodon_bartulensis	13.82	13.82	
Lopholistriodon_kidogosana	13.82	11.63	
Lopholistriodon_moruoroti	17.7	15.97	
Lopholistriodon_pickfordi	17.2	13.82	
Lorancahyus_hypsorhizus	21.7	21.7	
Lucentia_iberica	8.9	8.9	
Lucentia_pierensis	10.55	7.6	
Macedonitherium_martinii	3.55	3.55	
Machaeromeryx_gilchristensis	18.5	18.5	
Machaeromeryx_tragulus	22.2	18.5	
Macrogenis_crassigenis	12.11	12.11	
Macrotragus_planifrons	7.1	7.1	
Macrotragus_shansiensis	7.14	7.14	
Madoqua_avifluminis	5.333	2.66	
Majoreas_woodwardi	8.9	7.6	
Makapania_broomi	5.333	5.333	
Malaquiferus_tourteloti	45.38	42.78	
Maremmia_hauptii	8.9	7.6	
Maremmia_lorenzi	8.9	7.6	
Masillabune_martini	47.4	47.4	
Masritherium_aequitoralis	17.2	16.4	
Mediochoerus_blicki	15.97	15.97	
Mediochoerus_johnsoni	18.5	18.5	
Mediochoerus_mohavensis	14.78	14.78	
Megacamelus_merriami	6.88	5.91	
Megaceroides_obscurus	3.55	1.862	
Megaloceros_dawkinsi	0.781	0.774	
Megaloceros_giganteus	0.424	0.035	
Megaloceros_matritensis	0.379	0.379	
Megaloceros_pachyosteus	1.296	1.296	
Megaloceros_savini	0.781	0.771	
Megalotragus_isaaci	3.6	1.53	
Megalotragus_kattwinkeli	3.6	0.95	
Megalovis_ardeus	3.55	3.55	
Megalovis_guangxiensis	1.81	0.106	
Megalovis_latifrons	2.5	2.2	
Megalovis_piveteaui	2.5	2.5	
Megatylopus_cochrani	4.91	2.63	
Megatylopus_gigas	9.07	4.91	
Megatylopus_matthewi	7.59	5.91	
Megatylopus_primaevus	12.11	10.09	
Menelikia_leakeyi	7.44	3.4	
Menelikia_lyrocera	3.94	1.53	
Merriamoceros_coronatus	15.97	15.97	
Meryceros_crucensis	15.97	12.11	
Meryceros_hookwayi	15.97	15.97	
Meryceros_joraki	17.34	14.78	
Meryceros_major	15.97	12.57	
Meryceros_nenzelensis	15.97	14.78	
Meryceros_warreni	14.78	14.78	
Merychyus_arenarum	19.09	18.5	
Merychyus_crabilli	22.2	18.5	
Merychyus_elegans	19.09	18.5	
Merychyus_major	14.78	9.07	
Merychyus_medius	15.97	10.09	
Merychyus_minimus	19.09	18.5	
Merychyus_novomexicanus	14.78	10.09	
Merychyus_relictus	18.5	14.78	
Merychyus_smithi	22.2	15.97	
Merycobunodon_littoralis	47.96	47.96	
Merycochoerus_carrikeri	22.2	22.2	
Merycochoerus_chelydra	28.0	18.5	
Merycochoerus_magnus	19.09	17.34	
Merycochoerus_matthewi	19.09	18.5	
Merycochoerus_pinensis	29.75	22.2	
Merycochoerus_proprius	18.5	18.5	
Merycochoerus_superbus	29.75	19.09	
Merycochoerus_vantasselensis	22.2	19.09	
Merycodus_necatus	15.97	14.78	
Merycodus_sabulonis	18.5	12.11	
Merycoides_harrisonensis	22.2	18.5	
Merycoides_longiceps	22.2	19.09	
Merycoides_pariogonus	29.75	22.2	
Merycoides_relictus	29.75	22.2	
Merycoidodon_presidioensis	45.38	12.11	
Merycopotamus_dissimilis	11.63	3.6	
Merycopotamus_medioximus	8.9	8.108	
Merycopotamus_thachangensis	7.1	7.1	
Mesembriacerus_melentisi	9.9	8.9	
Mesembriportax_acrae	5.156	5.156	
Mesomeryx_grangeri	45.38	42.78	
Mesoreodon_floridanus	31.4	22.2	
Messelobunodon_schaeferi	47.4	47.4	
Metacervocerus_pardinensis	5.0	3.55	
Metacervocerus_rhenanus	3.55	1.724	
Metacervulus_bidens	7.2	7.2	
Metacervulus_brevis	7.2	7.2	
Metacervulus_capreolinus	7.1	5.3	
Metacervulus_lepidus	7.1	7.1	
Metacervulus_mongoliensis	12.85	5.4	
Metacervulus_simplex	7.6	7.6	
Metkatius_kashmiriensis	47.8	47.8	
Metridiochoerus_andrewsi	5.333	1.39	
Metridiochoerus_compactus	2.85	0.78	
Metridiochoerus_hopwoodi	2.64	0.95	
Metridiochoerus_jacksoni	3.6	3.6	
Metridiochoerus_modestus	2.148	0.95	
Metridiochoerus_shawi	5.333	2.5	
Metriotherium_mirabile	33.9	27.24	
Michenia_agatensis	22.2	17.34	
Michenia_deschutensis	18.5	18.5	
Michenia_exilis	22.2	19.09	
Michenia_yavapaiensis	12.57	9.07	
Microbunodon_minimum	23.86	23.86	
Micromeryx_azanzae	14.2	11.2	
Micromeryx_flourensianus	17.2	8.9	
Micromeryx_soriae	9.9	9.9	
Micromeryx_styriacus	16.4	15.3	
Microsus_cuspidatus	51.91	48.64	
Microtherium_renggeri	14.2	14.2	
Miolabis_californicus	19.09	19.09	
Miolabis_fissidens	17.34	14.78	
Miolabis_fricki	15.97	15.97	
Miolabis_longiceps	14.78	14.78	
Miolabis_montanus	15.97	15.97	
Miolabis_princetonianus	17.34	15.97	
Miolabis_transmontanus	15.97	15.97	
Miotragocerus_brevicornis	9.88	9.88	
Miotragocerus_gluten	7.246	7.246	
Miotragocerus_gregarius	8.972	8.972	
Miotragocerus_leskewitscchi	7.1	7.1	
Miotragocerus_maius	8.9	7.1	
Miotragocerus_monacensis	12.85	7.528	
Miotragocerus_pannoniae	16.4	5.0	
Miotragocerus_rugosifrons	7.6	7.6	
Miotragocerus_valenciennesi	11.2	6.252	
Miotylopus_gibbi	29.75	22.2	
Miotylopus_leonardi	29.75	22.2	
Miotylopus_taylori	29.75	28.0	
Mitilanotherium_martinii	3.55	3.55	
Mixtotherium_lavergnense	40.12	40.12	
Mixtotherium_mezi	33.9	33.9	
Moiachoerus_simpsoni	35.1	35.1	
Molarochoerus_yuanmouensis	8.9	8.9	
Moldoredunca_amalthea	11.2	11.2	
Montanatylopus_matthewi	37.39	35.92	
Morotochoerus_ugandensis	23.03	12.85	
Mosaicomeryx_quercyi	27.24	27.24	
Moschus_grandaevus	11.63	7.1	
Moschus_moschiferus	1.296	1.296	extant
Mouillacitherium_elegans	37.39	37.39	
Muntiacus_bohlini	2.5	1.81	
Muntiacus_hengduanshanensis	1.81	1.81	
Muntiacus_lacustris	7.2	1.185	
Muntiacus_leilaoensis	8.9	8.9	
Muntiacus_muntjak	1.296	1.296	extant
Muntiacus_nanus	7.6	5.0	
Muntiacus_polonicus	5	5	
Mylohyus_elmorei	5.91	5.91	
Mylohyus_floridanus	2.63	2.63	
Mylohyus_fossilis	1.8	1.8	
Mylohyus_longirostris	9.07	7.59	
Mytonomeryx_scotti	42.78	42.78	
Naemorhedus_caudatus	1.296	1.296	extant
Naemorhedus_goral	1.296	1.296	extant
Naemorhedus_sumatraensis	1.296	1.296	
Namacerus_gariepensis	16.4	16.4	
Namibiomeryx_senuti	19.5	19.5	
Nanotragulus_fontanus	29.75	29.75	
Nanotragulus_loomisi	31.4	19.09	
Nanotragulus_ordinatus	22.2	22.2	
Nanotragulus_planiceps	29.75	28.0	
Navahoceros_lacruensis	1.8	1.8	
Neodiacodexis_emryi	48.64	48.64	
Neomegaloceros_gracilis	7.1	7.1	
Neotragocerus_improvisus	7.59	6.88	
Neotragocerus_lingreni	4.91	4.91	
Nesogoral_melonii	5.3	3.55	
Nguruwe_kijivium	20.44	17.2	
Nguruwe_namibensis	20.44	20.44	
Nipponicervus_londanensis	2.5	2.5	
Nisidorcas_planicornis	11.63	7.6	
Nitidarcus_asfawi	1.042	1.042	
Norbertia_hellenica	7.1	7.1	
Nothokemas_floridanus	18.5	18.5	
Nothokemas_hidalgensis	18.5	18.5	
Nothokemas_waldropi	28.0	22.2	
Nothotylopus_camptognathus	12.11	12.11	
Notochoerus_clarki	5.333	5.333	
Notochoerus_euilus	5.333	1.8	
Notochoerus_scotti	5.333	1.8	
Numidocapra_crassicornis	2.5	1.042	
Nyanzachoerus_australis	6.54	5.2	
Nyanzachoerus_jaegeri	7.246	3.44	
Nyanzachoerus_kanamensis	7.246	2.52	
Nyanzachoerus_kuseralensis	5.2	5.2	
Nyanzachoerus_millensis	3.6	3.6	
Nyanzachoerus_nakaliensis	9.937	9.937	
Nyanzameryx_pickfordi	14.2	13.82	
Odocoileus_brachydontus	4.91	2.63	
Odocoileus_virginianus	2.63	0.9	extant
Oioceros_atropatenes	9.9	4.717	
Oioceros_jiulongkouensis	15.2	15.2	
Oioceros_noverca	12.5	12.5	
Oioceros_occidentalis	7.1	7.1	
Oioceros_pilgrimi	12.85	12.85	
Oioceros_rothi	8.9	7.6	
Oioceros_wegneri	8.9	7.528	
Olonbulukia_tsaidamensis	12.049	12.049	
Orasius_speciosus	8.9	8.9	
Orchonoceros_gromovi	3.55	3.025	
Oreodontoides_oregonensis	31.4	19.09	
Oreonagor_tournoueri	2.58	2.5	
Oreonetes_anceps	39.83	35.24	
Oreonetes_chadronensis	35.24	34.7	
Oreonetes_cheyennensis	34.7	31.4	
Oreonetes_douglassi	35.92	35.92	
Oreonetes_gracilis	33.9	33.9	
Oreonetes_nicholsae	33.9	33.9	
Oreonetes_starkensis	35.24	33.9	
Oreotragus_major	5.333	5.333	
Oreotragus_oreotragus	5.333	5.333	extant
Oromeryx_plicatus	45.38	39.83	
Oryx_eleulmensis	1.8	1.8	
Oryx_gazella	1.042	1.042	extant
Osbornoceros_osborni	9.07	7.59	
Ottoceros_peacevalleyensis	6.88	6.88	
Ouzocerus_gracilis	12.85	7.1	
Ouzocerus_pentalophosi	11.2	11.2	
Ovibos_moschatus	0.774	0.774	extant
Ovibos_pallantis	2.5	2.5	
Ovis_ammon	3.498	0.36	extant
Ovis_shantungensis	2.5	1.81	
Oxacron_courtoisi	33.77	33.77	
Oxydactylus_benedentatus	18.5	15.97	
Oxydactylus_campestris	22.2	22.2	
Oxydactylus_lacota	22.2	19.09	
Oxydactylus_longipes	19.09	18.5	
Oxydactylus_longirostris	18.5	17.34	
Oxydactylus_lulli	19.09	19.09	
Oxydactylus_wyomingensis	22.2	22.2	
Pachygazella_grangeri	7.1	7.1	
Pachyportax_giganteus	7.246	7.246	
Pachyportax_latidens	11.2	7.246	
Pachyportax_nagrii	7.246	7.246	
Pachytragus_laticeps	8.254	7.528	
Pakibune_chorlakkiensis	56	56	
Pakkokuhyus_lahirii	44.95	44.95	
Palaeochoerus_gergovianus	23.86	21.7	
Palaeochoerus_pusillus	23	23	
Palaeochoerus_typus	21.7	19.5	
Palaeogiraffa_macedoniae	11.2	9.9	
Palaeohypsodontus_asiaticus	32.63	32.63	
Palaeolama_guanajuantensis	5.91	5.91	
Palaeolama_mirifica	2.63	0.9	
Palaeomeryx_annectans	23.03	23.03	
Palaeomeryx_bojani	19.5	14.2	
Palaeomeryx_eminens	16.4	11.2	
Palaeomeryx_garsonnini	16.4	16.4	
Palaeomeryx_kaupi	20.44	14.2	
Palaeomeryx_lathanensis	16.4	16.4	
Palaeomeryx_magnus	16.4	11.2	
Palaeomeryx_sansaniensis	23.03	23.03	
Palaeomeryx_tricornis	17	17	
Palaeoreas_asiaticus	9.426	9.426	
Palaeoreas_brachyceras	11.2	11.2	
Palaeoreas_elegans	8.9	8.9	
Palaeoreas_lindermayeri	11.2	7.1	
Palaeoreas_zouavei	8.9	8.9	
Palaeoryx_longicephalus	7.1	7.1	
Palaeoryx_majori	8.9	7.1	
Palaeoryx_pallasi	11.2	7.1	
Palaeoryx_sinensis	7.14	7.14	
Palaeoryx_stutzeli	11.2	7.6	
Palaeotragiscus_longiceps	2.5	2.5	
Palaeotragus_asiaticus	11.63	7.1	
Palaeotragus_berislavicus	9.9	9.9	
Palaeotragus_coelophrys	11.2	6.584	
Palaeotragus_decipiens	11.63	8.108	
Palaeotragus_expectans	12.9	11.2	
Palaeotragus_gaudryi	7.6	7.6	
Palaeotragus_germaini	14.2	6.54	
Palaeotragus_indet	11.2	5.6	
Palaeotragus_inexspectatus	3.0	2.5	
Palaeotragus_lavocati	14.2	14.2	
Palaeotragus_microdon	11.63	5.767	
Palaeotragus_moldavicus	11.2	9.9	
Palaeotragus_pavlowae	9.9	7.6	
Palaeotragus_primaevus	17.7	15.97	
Palaeotragus_progressus	3.55	2.5	
Palaeotragus_quadricornis	8.9	7.528	
Palaeotragus_robinsoni	12.85	12.85	
Palaeotragus_rouenii	11.2	7.1	
Palaeotragus_tungurensis	12.85	9.9	
Parablastomeryx_floridanus	18.5	18.5	
Parablastomeryx_gregorii	12.11	12.11	
Parabos_athanasiui	5.0	3.55	
Parabos_cordieri	6.252	3.55	
Parabos_macedoniae	5	5	
Parabos_soriae	6.252	3.55	
Parabrachyodus_hyopotamoides	20.44	17.2	
Parabunodon_anatolicum	12.85	12.85	
Paracamelus_aguirrei	7.6	6.252	
Paracamelus_alexejevi	5.0	3.55	
Paracamelus_alutensis	3.55	2.5	
Paracamelus_bessarabiensis	5.3	5.3	
Paracamelus_gigas	5.3	2.106	
Paracamelus_kujalnensis	4.415	3.55	
Paracamelus_praebactrianus	3.55	3.0	
Paracervulus_attenuatus	7.1	7.1	
Paracervulus_australis	7.1	3.55	
Paracervulus_bidens	4.6	4.6	
Parachleuastochoerus_crusafonti	12.85	9.647	
Parachleuastochoerus_huenermanni	16.4	10.55	
Parachleuastochoerus_steinheimensis	16.4	9.786	
Paracosoryx_alticornis	17.34	12.11	
Paracosoryx_dawesensis	17.34	17.34	
Paracosoryx_furlongi	15.97	10.09	
Paracosoryx_loxoceros	15.97	12.11	
Paracosoryx_nevadensis	15.97	14.78	
Paracosoryx_pawniensis	15.97	14.78	
Paracosoryx_wilsoni	18.5	14.78	
Paradicrocerus_elegantulus	19.5	11.188	
Paraentelodon_intermedium	27.82	27.82	
Paraentelodon_macrognathus	26.276	26.276	
Paragelocus_scotti	33.77	30.83	
Parahyus_vagrans	47.96	45.38	
Paralabis_cedrensis	32.1	31.4	
Paramiolabis_minutus	17.34	15.97	
Paramiolabis_singularis	15.97	14.78	
Paramiolabis_taylori	15.97	15.97	
Paramiolabis_tenuis	17.34	17.34	
Parantidorcas_latifrons	3.55	2.5	
Paraoioceros_improvisus	8.9	8.9	
Paraprotoryx_killgusi	8.9	8.9	
Paraprotoryx_minor	7.14	7.14	
Parapseudotragus_taurica	7.1	7.1	
Parastrepsiceros_koufosi	3.55	3.55	
Parastrepsiceros_sokolovi	3.55	3.55	
Paratoceras_macadamsi	12.11	12.11	
Paratoceras_tedfordi	22.2	22.2	
Paratoceras_wardi	14.78	14.78	
Paratragocerus_caucasicus	16.4	7.1	
Paratylopus_cameloides	19.09	15.97	
Paratylopus_labiatus	34.7	32.1	
Paratylopus_primaevus	32.1	32.1	
Parestigorgon_gadjingeri	5.333	2.66	
Parmularius_altidens	2.5	1.845	
Parmularius_angusticornis	3.6	1.042	
Parmularius_atlanticus	2.19	2.19	
Parmularius_braini	5.333	2.85	
Parmularius_eppsi	2.85	2.85	
Parmularius_pachyceras	3.5	3.5	
Parmularius_pandatus	3.85	1.8	
Parmularius_parvus	1.8	1.8	
Parmularius_rugosus	2.5	0.95	
Paroreodon_parvus	28.0	22.2	
Paroxacron_bergeri	30.83	30.83	
Paroxacron_valdense	36.65	35.1	
Parvitragulus_priscus	39.83	35.24	
Paukkaungmeryx_minutus	44.95	44.95	
Pavlodaria_orlovi	7.1	7.1	
Pecarichoerus_sminthos	13.032	13.032	
Pediomeryx_hemphillensis	7.59	5.91	
Pelea_capreolus	1.8	1.8	extant
Pelorovis_antiquus	1.042	1.042	
Pelorovis_kaisensis	3.6	3.6	
Pelorovis_oldowayensis	2.85	0.95	
Pelorovis_turkanensis	2.88	1.39	
Pentacemylus_leotensis	42.78	42.78	
Pentacemylus_progressus	42.78	39.83	
Perchoerus_minor	37.39	29.75	
Perchoerus_probus	34.7	31.4	
Perimia_falconeri	7.246	7.246	
Phacochoerus_aethiopicus	5.333	2.52	extant
Phacochoerus_antiquus	2.33	0.78	
Phenacocoelus_luskensis	19.09	19.09	
Phenacocoelus_typus	22.2	22.2	
Pheraios_chryssomallos	7.6	7.6	
Phronetragus_arcnethensis	9.88	9.88	
Phronetragus_secundus	7.1	7.1	
Pipestoneia_douglassi	35.24	35.24	
Platycemas_infans	4.6	4.6	
Platygonus_bicalcaratus	4.91	2.63	
Platygonus_brachyrostris	6.88	6.88	
Platygonus_oregonensis	9.07	7.59	
Platygonus_pearcei	4.91	4.91	
Platygonus_vetus	2.63	1.8	
Pleiolama_mckennai	12.11	12.11	
Pleiolama_vera	9.07	4.91	
Plesiaddax_depereti	7.1	5.767	
Plesiaddax_inundatus	8.9	8.9	
Plesiaddax_minor	8.972	7.2	
Plesiomeryx_cadurcensis	30.83	27.24	
Plesiomeryx_huerzeleri	30.83	30.83	
Plioceros_blicki	14.78	7.59	
Plioceros_dehlini	12.11	12.11	
Plioceros_floblairi	14.78	12.11	
Pliocervus_graecus	7.1	7.1	
Pliocervus_karabastuzicus	7.1	7.1	
Pliocervus_kutchurganicus	5.3	5.3	
Pliocervus_matheroni	7.1	7.1	
Pliocervus_pentelici	7.6	7.528	
Pliocervus_pentelicus	7.1	7.1	
Pliocervus_turolensis	7.1	7.1	
Plioportax_ucrainicus	5.3	5.3	
Pliotragus_ardeus	3.55	2.2	
Poabromylus_golzi	39.83	39.83	
Poabromylus_kayi	39.83	35.92	
Poabromylus_minor	39.83	34.7	
Poabromylus_robustus	39.83	39.83	
Poebrodon_californicus	42.78	42.78	
Poebrodon_kayi	42.78	42.78	
Poebrotherium_chadronense	35.92	35.92	
Poebrotherium_eximium	35.24	33.9	
Poebrotherium_franki	35.92	35.24	
Poebrotherium_wilsoni	34.7	32.1	
Pomelomeryx_boulangeri	23.0	19.5	
Pomelomeryx_gracilis	23.0	19.5	
Pomelomeryx_wintershofensis	19.5	19.5	
Pontoceros_ambiguus	3.55	3.55	
Potamochoerus_afarensis	3.94	3.85	
Potamochoerus_magnus	1.9	1.9	
Potamochoerus_palaeindicus	3.6	3.6	
Potamochoerus_porcus	3.94	3.4	extant
Praedamalis_deturi	3.85	2.66	
Praedamalis_howelli	3.6	3.6	
Praemegaceros_obscurus	1.9	1.9	
Praemegaceros_solhilacus	0.781	0.781	
Praemegaceros_verticornis	1.981	0.771	
Praeovibos_priscus	0.761	0.69	
Praepalaeotragus_actauensis	19.5	17.2	
Praesinomegaceros_asiaticus	7.1	5.4	
Praesinomegaceros_venustus	7.6	7.6	
Priscocamelus_wilsoni	22.2	22.2	
Proamphibos_kashmiricus	3.956	3.6	
Proantilocapra_platycornea	12.11	12.11	
Probison_dehmi	3.956	3.6	
Problastomeryx_primus	19.09	19.09	
Procamelus_chersonensis	13.6	13.6	
Procamelus_grandis	14.78	5.91	
Procamelus_leptocolon	15.97	14.78	
Procamelus_occidentalis	15.97	12.11	
Procamptoceras_brivatense	5.0	2.138	
Procapreolus_concudensis	7.6	7.6	
Procapreolus_cusanus	5.333	3.55	
Procapreolus_flerovi	7.6	7.6	
Procapreolus_jinensis	7.1	5.3	
Procapreolus_latifrons	11.63	4.717	
Procapreolus_loczyi	11.2	5.3	
Procapreolus_ukrainicus	9.9	7.6	
Procapreolus_wenzensis	5	5	
Procervulus_dichotomus	19.5	15.59	
Procervulus_flerovi	16.4	9.9	
Procervulus_ginsburgi	17.2	17.2	
Procervulus_gracilis	18.95	16.4	
Procervulus_praelucidus	19.5	17.2	
Procobus_amalthea	7.6	7.6	
Procobus_brauneri	7.6	7.6	
