#Name,Category,Mass,Source
Camelus thomasi,Herb,501187.233627273,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Injanatherium hazimi,Herb,500000,http://www.helsinki.fi/science/now/
Palaeotragus moldavicus,Herb,500000,http://www.helsinki.fi/science/now/
Prosantorhinus germanicus,Herb,500000,http://www.helsinki.fi/science/now/
Spirocerus wongi,Herb,500000,http://www.helsinki.fi/science/now/
Tetraconodon magnus,Herb,488942.414615449,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Equus numidicus,Herb,474000,"Cantalapiedra, J.L., J. L. Prado, M. Hernández Fernández, M. T. Alberdi (2017) Decoupled ecomorphological evolution and diversification in Neogene-Quaternary horses. Science 355, Issue 6325, pp. 627-630
"
Palaeotragus microdon,Herb,462529.000000001,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Alephis boodon,Herb,454600,"Montoya, P., Ginsburg, L., Alberdi, M. T., Van der Made, J., Morales, J., & Soria, M. D. (2006). Fossil large mammals from the early Pliocene locality of Alcoy (Spain) and their importance in biostratigraphy. Geodiversitas, 28(1), 137-173."
Palaeotragus tungurensis,Herb,439666,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Plesiohipparion houfenense,Herb,437000,"Cantalapiedra, J.L., J. L. Prado, M. Hernández Fernández, M. T. Alberdi (2017) Decoupled ecomorphological evolution and diversification in Neogene-Quaternary horses. Science 355, Issue 6325, pp. 627-630
"
Equus sanmeniensis,Herb,427000,"Cantalapiedra, J.L., J. L. Prado, M. Hernández Fernández, M. T. Alberdi (2017) Decoupled ecomorphological evolution and diversification in Neogene-Quaternary horses. Science 355, Issue 6325, pp. 627-630
"
Equus stenonis,Herb,420000,"Cantalapiedra, J.L., J. L. Prado, M. Hernández Fernández, M. T. Alberdi (2017) Decoupled ecomorphological evolution and diversification in Neogene-Quaternary horses. Science 355, Issue 6325, pp. 627-630
"
Cervalces carnotorum,Herb,412098,genus mean
Libralces gallicus,Herb,412097.519097331,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Cervalces gallicus,Herb,412000,"Meloro, C., Raia, P., & Barbera, C. (2007). Effect of predation on prey abundance and survival in Plio-Pleistocene mammalian communities. Evolutionary Ecology Research, 9(3), 505-525."
Equus grevyi,Herb,407999.847,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Bos acutifrons,Herb,405166,genus mean
Bos bubaloides,Herb,405166,genus mean
Bos mastanzadei,Herb,405166,genus mean
Bos namadicus,Herb,405166,genus mean
Bos planifrons,Herb,405166,genus mean
Bos praeafricanus,Herb,405166,genus mean
Bos sonadicus,Herb,405166,genus mean
Bos zeylanicus,Herb,405166,genus mean
Megaceroides obscurus,Herb,400000.000000001,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Injanatherium arabicum,Herb,400000,http://www.helsinki.fi/science/now/
Palaeotragus coelophrys,Herb,400000,http://www.helsinki.fi/science/now/
Pseudalces mirandus,Herb,400000,"Raia, P., Carotenuto, F., Eronen, J. T., & Fortelius, M. (2011, December). Longer in the tooth, shorter in the record? The evolutionary correlates of hypsodonty in Neogene ruminants. In Proc. R. Soc. B (Vol. 278, No. 1724, pp. 3474-3481). The Royal Society."
Dmanisibos georgicus,Herb,399944.749761098,"Garrido, G. (2008). The first record of Leptobos etruscus (FALCO-NER, 1868)(Bovidae, Artiodactyla, Mammalia) for the Iberian Peninsula (Fonelas P-1, Guadix Basin, Granada). Vertebrados del Plioceno superior terminal en el suroeste de Europa: Fonelas P-1 y el Proyecto Fonelas”. Cuadernos del Museo Geominero, 10, 489-516."
Leptobos etruscus,Herb,399944.749761098,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Palaeotragiscus longiceps,Herb,396566.125,genus mean
Palaeotragus priasovicus,Herb,396566.125,genus mean
Taurotragus arkelli,Herb,391316,genus mean
Taurotragus oryx,Herb,391316,http://fossilworks.org/?page=paleodb
Plesiohipparion rocinantis,Herb,391000,"Cantalapiedra, J.L., J. L. Prado, M. Hernández Fernández, M. T. Alberdi (2017) Decoupled ecomorphological evolution and diversification in Neogene-Quaternary horses. Science 355, Issue 6325, pp. 627-630
"
Sinomegaceros konwanlinensis,Herb,388150.366,genus mean
Cervodama pontoborealis,Herb,385000,"Croitor, R. (2006). Early Pleistocene small-sized deer of Europe. Hellenic Journal of Geosciences, 41(1), 89-117."
Megaloceros solilhacus,Herb,383300,"Palmqvist, P., Martínez-Navarro, B., & Arribas, A. (1996). Prey selection by terrestrial carnivores in a lower Pleistocene paleocommunity. Paleobiology,22(04), 514-534."
Germanomeryx fahlbuschi,Herb,380000,http://www.helsinki.fi/science/now/
Leptobos vallisarni,Herb,377572.190925417,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Stegodon sondaari,Herb,375000,"Larramendi, A. (2015). Shoulder height, body mass and shape of proboscideans. Acta Palaeontol. Pol. in press. doi, 10."
Equus mauritanicus,Herb,366000,"Cantalapiedra, J.L., J. L. Prado, M. Hernández Fernández, M. T. Alberdi (2017) Decoupled ecomorphological evolution and diversification in Neogene-Quaternary horses. Science 355, Issue 6325, pp. 627-630
"
Hipparion crassum,Herb,366000,"Shoemaker, L., & Clauset, A. (2014). Body mass evolution and diversification within horses (family Equidae). Ecology letters, 17(2), 211-220."
Giraffokeryx punjabiensis,Herb,362217.449611239,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Alces ordosianus,Herb,359799.2,genus mean
Equus qingyangensis,Herb,358000,"Cantalapiedra, J.L., J. L. Prado, M. Hernández Fernández, M. T. Alberdi (2017) Decoupled ecomorphological evolution and diversification in Neogene-Quaternary horses. Science 355, Issue 6325, pp. 627-630
"
Alces alces,Herb,355000,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Equus achenheimensis,Herb,354309.0867,genus mean
Equus antiquus,Herb,354309.0867,genus mean
Equus helmei,Herb,354309.0867,genus mean
Equus hipparionoides,Herb,354309.0867,genus mean
Equus namadicus,Herb,354309.0867,genus mean
Equus plicatus,Herb,354309.0867,genus mean
Equus sivalensis,Herb,354309.0867,genus mean
Equus gmelini,Herb,350000,http://www.helsinki.fi/science/now/
Equus capensis,Herb,350000,"Polishchuk, L. V. (2010). The three-quarter-power scaling of extinction risk in Late Pleistocene mammals, and a new theory of the size selectivity of extinction. Evolutionary Ecology Research, 12(1), 1-22."
Ovibos moschatus,Herb,340501.064,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Equus huanghoensis,Herb,340000,"Cantalapiedra, J.L., J. L. Prado, M. Hernández Fernández, M. T. Alberdi (2017) Decoupled ecomorphological evolution and diversification in Neogene-Quaternary horses. Science 355, Issue 6325, pp. 627-630
"
Sinohippus zitteli,Herb,334000,http://www.helsinki.fi/science/now/
Equus oldowayensis,Herb,332000,"Cantalapiedra, J.L., J. L. Prado, M. Hernández Fernández, M. T. Alberdi (2017) Decoupled ecomorphological evolution and diversification in Neogene-Quaternary horses. Science 355, Issue 6325, pp. 627-630
"
Equus senezensis,Herb,331000,"Cantalapiedra, J.L., J. L. Prado, M. Hernández Fernández, M. T. Alberdi (2017) Decoupled ecomorphological evolution and diversification in Neogene-Quaternary horses. Science 355, Issue 6325, pp. 627-630
"
Microstonyx major,Herb,330000,http://www.helsinki.fi/science/now/
Hipparion heintzi,Herb,325000,http://www.helsinki.fi/science/now/
Alces carnutorum,Herb,313950.775360853,"Asensio, B. A., Méndez, J. R., Prado, J. L., & Alonso, M. T. A. (2004). Patterns of body-size change in large mammals during the Late Cenozoic in the Northwestern Mediterranean. In Miscelanea en homenaje a Emiliano Aguirre (pp. 464-479). Museo Arqueológico Regional."
Ovibos pallantis,Herb,313000,http://www.helsinki.fi/science/now/
Leptobos elatus,Herb,306199.308247565,"Asensio, B. A., Méndez, J. R., Prado, J. L., & Alonso, M. T. A. (2004). Patterns of body-size change in large mammals during the Late Cenozoic in the Northwestern Mediterranean. In Miscelanea en homenaje a Emiliano Aguirre (pp. 464-479). Museo Arqueológico Regional."
Leptobos brevicornis,Herb,304320.000000001,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Budorcas taxicolor,Herb,302000,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Equus altidens,Herb,300000,"Cantalapiedra, J.L., J. L. Prado, M. Hernández Fernández, M. T. Alberdi (2017) Decoupled ecomorphological evolution and diversification in Neogene-Quaternary horses. Science 355, Issue 6325, pp. 627-630
"
Hexaprotodon sivalensis,Herb,300000,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Hexaprotodon iravaticus,Herb,300000,genus mean
Hexaprotodon karumensis,Herb,300000,genus mean
Hexaprotodon palaeindicus,Herb,300000,genus mean
Hexaprotodon simplex,Herb,300000,genus mean
Hexaprotodon sinhaleyus,Herb,300000,genus mean
Hexaprotodon sivajavanicus,Herb,300000,genus mean
Microstonyx ultimus,Herb,300000,genus mean
Tapirus indicus,Herb,296250,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Hipparion gettyi,Herb,293000,http://www.helsinki.fi/science/now/
Praemegaceros obscurus,Herb,289000,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Equus yunnanensis,Herb,288000,"Shoemaker, L., & Clauset, A. (2014). Body mass evolution and diversification within horses (family Equidae). Ecology letters, 17(2), 211-220."
Tapirus peii,Herb,279902.221,genus mean
Tapirus sanyuanensis,Herb,279902.221,genus mean
Tapirus sinensis,Herb,279902.221,genus mean
Tapirus teilhardi,Herb,279902.221,genus mean
Hippohyus sivalensis,Herb,277000,"estimated from:Batool, A., Khan, M. A., & Qureshi, N. A. (2015). NEW FOSSILS OF SUIDAE (MAMMALIA, ARTIODACTYLA) FROM THE HASNOT LATE MIOCENE, NORTHERN PAKISTAN. JAPS, Journal of Animal and Plant Sciences, 25(2), 578-590."
Equus quagga,Herb,276000,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Proleptobos birmanicus,Herb,274452.4688,genus mean
Epileptobos groeneveldtii,Herb,274452.46,genus mean
Leptobos crassus,Herb,274452.46,genus mean
Leptobos falconeri,Herb,274452.46,genus mean
Hippotherium primigenium,Herb,274000,http://www.helsinki.fi/science/now/
Equus tabeti,Herb,273000,"Shoemaker, L., & Clauset, A. (2014). Body mass evolution and diversification within horses (family Equidae). Ecology letters, 17(2), 211-220."
Microstonyx erymanthius,Herb,270000,http://www.helsinki.fi/science/now/
Hippotragus equinus,Herb,269997.66,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Hemibos gracilis,Herb,267465,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Sus strozzii,Herb,266000,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Euthyceros thessalicus,Herb,257465.979036489,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Hippotherium giganteum,Herb,253000,http://www.helsinki.fi/science/now/
Gazellospira gromovae,Herb,252937,genus mean
Gazella postmitilinii,Herb,252936,genus mean
Gazella bouvrainae,Herb,252934,genus mean
Gazella aegae,Herb,252933,genus mean
Euthyceros tessalicus,Herb,252932,genus mean
Eucladoceros giulii,Herb,252931,genus mean
Eucladoceros ctenoides,Herb,252929.799644615,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Eucladoceros dicranios,Herb,252929.799644615,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Hipparion campbelli,Herb,251000,http://www.helsinki.fi/science/now/
Tapirus hezhengensis,Herb,250402,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Eucladoceros boulei,Herb,250067.5515,genus mean
Eucladoceros sedgwicki,Herb,250067.5515,genus mean
Equus asinus,Herb,250000,http://www.helsinki.fi/science/now/
Equus ferus,Herb,249999.995007974,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Praemegaceros solhilacus,Herb,247000,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Eucladoceros tetraceros,Herb,244343.055269397,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Megaloceros savini,Herb,242102.904673618,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Parabos athanasiui,Herb,240954.5,genus mean
Nitidarcus asfawi,Herb,238200,"estimate from: Vrba, E. S. (1997). New fossils of Alcelaphini and Caprinae (Bovidae: Mammalia) from Awash, Ethiopia, and phylogenetic analysis of Alcelaphini."
Damalops palaeindicus,Herb,233500,"Dennell, R. W., Coard, R., & Turner, A. (2008). Predators and scavengers in Early Pleistocene southern Asia. Quaternary International, 192(1), 78-88."
Hippotherium brachypus,Herb,233000,http://www.helsinki.fi/science/now/
Mitilanotherium martinii,Herb,230002.146,genus mean
Equus hemionus,Herb,230000,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Hippotherium sumegense,Herb,230000,http://www.helsinki.fi/science/now/
Palaeotragus asiaticus,Herb,230000,http://www.helsinki.fi/science/now/
Palaeotragus pavlowae,Herb,230000,http://www.helsinki.fi/science/now/
Megalovis latifrons,Herb,227600,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Soergelia minor,Herb,227600,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Megalovis balcanicus,Herb,227600,genus mean
Megalovis guangxiensis,Herb,227600,genus mean
Soergelia elisabethae,Herb,227600,genus mean
Soergelia intermedia,Herb,227600,genus mean
Hippotragus niger,Herb,227499.266,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Equus hydruntinus,Herb,227130,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Cremohipparion proboscideum,Herb,225000,http://www.helsinki.fi/science/now/
Hipparion weihoense,Herb,224749,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Bibos palaesondaicus,Herb,222190.3576,genus mean
Urmiatherium polaki,Herb,220000,http://www.helsinki.fi/science/now/
Praeovibos priscus,Herb,220000,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Hipparion longipes,Herb,215000,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Plesiohipparion longipes,Herb,215000,http://www.helsinki.fi/science/now/
Tragelaphus strepsiceros,Herb,213501.043,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Strepsiceros strepsiceros,Herb,213501.043,genus mean
Praemegaceros pliotarandoides,Herb,212814,genus mean
Praemegaceros verticornis,Herb,212813.904598271,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Palaeomeryx eminens,Herb,211000,http://www.helsinki.fi/science/now/
Tragelaphus algericus,Herb,210827.59,genus mean
Tragelaphus annectens,Herb,210827.59,genus mean
Tragelaphus arkelli,Herb,210827.59,genus mean
Tragelaphus gaudryi,Herb,210827.59,genus mean
Tragelaphus nakuae,Herb,210827.59,genus mean
Kobus ellipsiprymnus,Herb,210000.341,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Hipparion platigenis,Herb,210000,http://www.helsinki.fi/science/now/
Hippotragus bohlini,Herb,207258.23,genus mean
Hippotragus gigas,Herb,207258.23,genus mean
Parmularius altidens,Herb,207000,"Daujeard, C., Geraads, D., Gallotti, R., Mohib, A., & Raynal, J. P. (2012). Carcass acquisition and consumption by carnivores and hominins in middle pleistocene sites of Casablanca (Morocco). Journal of Taphonomy, 10(3-4), 349-372."
Parmularius ambiguus,Herb,207000,"Daujeard, C., Geraads, D., Gallotti, R., Mohib, A., & Raynal, J. P. (2012). Carcass acquisition and consumption by carnivores and hominins in middle pleistocene sites of Casablanca (Morocco). Journal of Taphonomy, 10(3-4), 349-372."
Parmularius angusticornis,Herb,207000,"Daujeard, C., Geraads, D., Gallotti, R., Mohib, A., & Raynal, J. P. (2012). Carcass acquisition and consumption by carnivores and hominins in middle pleistocene sites of Casablanca (Morocco). Journal of Taphonomy, 10(3-4), 349-372."
Parmularius rugosus,Herb,207000,"Daujeard, C., Geraads, D., Gallotti, R., Mohib, A., & Raynal, J. P. (2012). Carcass acquisition and consumption by carnivores and hominins in middle pleistocene sites of Casablanca (Morocco). Journal of Taphonomy, 10(3-4), 349-372."
Hipparion dermatorhinum,Herb,207000,http://www.helsinki.fi/science/now/
Tapirus arvernensis,Herb,207000,http://www.helsinki.fi/science/now/
Proboscidipparion sinense,Herb,205000,http://www.helsinki.fi/science/now/
Hippotherium koenigswaldi,Herb,204474.3269,genus mean
Hipparion chiai,Herb,204038,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Oryx dammah,Herb,200000.002,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Megalotragus priscus,Herb,200000,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Megalotragus eucornutus,Herb,200000,genus mean
Megalotragus kattwinkeli,Herb,200000,genus mean
Thaleroceros radiciformis,Herb,200000,genus mean
Stylochoerus altidens,Herb,200000,http://www.angellis.net/Web/PDfiles/ungartio.pdf
Stylochoerus compactus,Herb,200000,http://www.angellis.net/Web/PDfiles/ungartio.pdf
Criotherium argalioides,Herb,200000,http://www.helsinki.fi/science/now/
Palaeomeryx magnus,Herb,200000,http://www.helsinki.fi/science/now/
Palaeoryx pallasi,Herb,200000,http://www.helsinki.fi/science/now/
Selenoportax vexillarius,Herb,198789.15114295,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Hipparion melendezi,Herb,198000,http://www.helsinki.fi/science/now/
Hipparion hippidiodus,Herb,195000,http://www.helsinki.fi/science/now/
Hipparion catalaunicum,Herb,194000,http://www.helsinki.fi/science/now/
Hipparion dietrichi,Herb,190000,http://www.helsinki.fi/science/now/
Hylochoerus meinertzhageni,Herb,188500,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Hipparion sarmaticum,Herb,188000,http://www.helsinki.fi/science/now/
Cremohipparion mediterraneum,Herb,187000,http://www.helsinki.fi/science/now/
Boselaphus namadicus,Herb,185407,genus mean
Hipparion prostylum,Herb,185000,http://www.helsinki.fi/science/now/
Boocercus flabellatus,Herb,185000,"Ralls, K. (1978). Tragelaphus eurycerus. Mammalian Species Archive, 111, 1-4.
ISO 690 "
Hipparion ethiopicum,Herb,183676.8595,genus mean
Hipparion malustenense,Herb,183676.8595,genus mean
Hipparion tchicoicum,Herb,183676.8595,genus mean
Rusa unicolor,Herb,180344.4443,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Cervus elaphus,Herb,180187.804,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Arvernoceros ardei,Herb,180000,"Croitor, R. O. M. A. N. (2009). Systematical position and evolution of the genus Arvernoceros (Cervidae, Mammalia) from Plio-Pleistocene of Eurasia. Muzeul Olteniei Craiova. Oltenia. Studii si communicari. S tiintele Naturii, 25."
Ovis ammon,Herb,180000,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Connochaetes gnou,Herb,179998.962,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Connochaetes taurinus,Herb,179998.962,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Samokeros minotaurus,Herb,178000,http://www.helsinki.fi/science/now/
Connochaetes africanus,Herb,173784.981,genus mean
Connochaetes antiquus,Herb,173784.981,genus mean
Connochaetes gentryi,Herb,173784.981,genus mean
Connochaetes grandis,Herb,173784.981,genus mean
Connochaetes laticornutus,Herb,173784.981,genus mean
Alcelaphus buselaphus,Herb,171001.532,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Alcelaphus caama,Herb,171001.532,genus mean
Alcelaphus helmei,Herb,171001.532,genus mean
Alcelaphus probubalis,Herb,171001.532,genus mean
Alcelaphus robustus,Herb,171001.532,genus mean
Lunatoceras mirum,Herb,171001.532,genus mean
Dystychoceras foveatus,Herb,170000,http://www.helsinki.fi/science/now/
Palaeoryx longicephalus,Herb,170000,http://www.helsinki.fi/science/now/
Plesiaddax inundatus,Herb,170000,http://www.helsinki.fi/science/now/
Plioportax ucrainicus,Herb,170000,http://www.helsinki.fi/science/now/
Oryx gazella,Herb,169001.282,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Boselaphus tragocamelus,Herb,169000,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Tapirus telleri,Herb,169000,http://www.helsinki.fi/science/now/
Oryx cautleyi,Herb,165730.214,genus mean
Oryx eleulmensis,Herb,165730.214,genus mean
Oryx sivalensis,Herb,165730.214,genus mean
Propotamochoerus hysudricus,Herb,162754.791419,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Procobus melania,Herb,160000,http://www.helsinki.fi/science/now/
Propotamochoerus provincialis,Herb,160000,http://www.helsinki.fi/science/now/
Protoryx carolinae,Herb,160000,http://www.helsinki.fi/science/now/
